group,site_title,active,first_seen,last_seen,victim_count,language,login_gate,screenshot_url,first_party_victims,mirrors_up
blacksuit,,no,2023-06-12,2025-05-29,184,,,,0,0
devman,,no,2023-06-07,2026-02-03,184,,,,0,0
babuk2,,no,2021-02-01,2025-04-06,180,,,,0,0
nova,,yes,2025-03-22,2026-07-25,178,,,,0,0
handala,,yes,2024-04-05,2026-04-07,175,,,,0,0
worldleaks,World Leaks,no,2022-06-23,2026-07-21,174,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/worldleaks/20260721T033031Z.png,0,0
funksec,,yes,2023-04-13,2025-03-18,172,,,,0,0
malas,,no,2023-04-09,2023-04-09,170,,,,0,0
cloak,CAPTCHA Verification,yes,2023-08-24,2026-06-18,166,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cloak/20260824T033034Z.png,0,0
apt73,BASHE,yes,2024-04-05,2026-07-24,157,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/apt73/20260826T033240Z.png,154,0
spacebears,,yes,2024-04-25,2026-09-04,156,,,,32,0
shinyhunters,,yes,2024-04-23,2026-08-29,154,,,,0,0
blackbyte,,no,2021-10-04,2025-07-30,147,,,,0,0
avaddon,,no,2021-02-01,2021-09-09,146,,,,0,0
meow,,no,2023-09-04,2024-11-19,145,,,,0,0
silentransomgroup,,yes,2022-06-07,2026-08-27,145,,,,0,0
snatch,,no,2021-11-29,2024-05-15,142,,,,0,0
sarcoma,Sarcoma Group,yes,2024-07-09,2026-03-30,141,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/sarcoma/20260829T033025Z.png,22,0
krybit,,yes,2026-03-30,2026-09-03,134,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/krybit/20260901T033028Z.png,130,0
ragnarlocker,This site has been seized,yes,2020-04-01,2023-10-11,128,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ragnarlocker/20260830T033543Z.png,0,0
noescape,,no,2023-06-07,2023-11-26,126,,,,0,0
raworld,,no,2023-04-27,2024-12-28,126,,,,0,0
direwolf,DireWolf,no,2025-04-17,2026-09-04,124,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/direwolf/20260901T033014Z.png,30,0
interlock,Interlock,yes,2023-12-01,2026-08-31,123,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/interlock/20260826T033137Z.png,40,0
pear,PEAR,yes,2023-08-18,2026-08-24,118,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/pear/20260827T033113Z.png,29,0
toufan,,yes,2023-12-17,2023-12-27,117,,,,0,0
genesis,GENESIS,yes,2024-05-07,2026-08-24,115,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/genesis/20260826T033150Z.png,21,0
eldorado,,yes,2023-10-19,2025-01-22,112,,,,0,0
monti,,no,2022-12-07,2025-05-07,110,,,,0,0
payoutsking,Captcha,yes,2025-04-17,2026-08-24,110,en,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/payoutsking/20260823T033442Z.png,0,0
arcusmedia,A r c u s,yes,2024-05-08,2026-08-24,109,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/arcusmedia/20260823T033433Z.png,55,0
anubis,Anubis blog,yes,2025-02-25,2026-09-02,107,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/anubis/20260826T033433Z.png,16,0
cuba,,no,2021-02-03,2024-02-01,103,,,,0,0
deadlock,Deadlock - Blog,yes,,,101,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/deadlock/20260830T033205Z.png,15,1
revil,,no,2019-08-26,2022-11-28,96,,,,0,0
kairos,Kairos,yes,2024-06-26,2026-09-02,95,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/kairos/20260827T033127Z.png,10,0
abyss,Abyss-data,yes,2023-03-21,2026-08-26,91,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/abyss/20260826T033555Z.png,51,0
threeam,Enter the key,yes,2023-08-04,2026-08-30,91,,,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/threeam/20260823T033441Z.png,0,0
medusalocker,Verifying...,yes,2021-11-03,2026-09-02,90,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/medusalocker/20260827T033056Z.png,0,0
ransomexx,RansomEXX v2,yes,2020-05-14,2026-06-20,86,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ransomexx/20260824T033143Z.png,10,0
chaos,CHAOS,yes,2025-02-19,2026-08-28,85,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/chaos/20260826T033501Z.png,69,0
lorenz,,no,2020-01-12,2023-12-01,78,,,,0,0
warlock,,no,2025-04-02,2025-11-06,78,,,,0,0
braincipher,,yes,2024-07-01,2026-07-22,77,,,,47,1
cicada3301,,no,2024-06-04,2025-09-04,75,,,,0,0
karakurt,,no,2022-12-11,2023-09-22,74,,,,0,0
payload,Payload | Leaks,yes,2026-02-17,2026-08-20,74,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/payload/20260826T033341Z.png,68,0
beast,BEAST LEAKS | Index,yes,2023-12-19,2026-08-19,72,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/beast/20260825T033049Z.png,40,0
avoslocker,,no,2021-06-13,2023-02-11,70,,,,0,0
quantum,,no,2021-09-09,2022-12-09,68,,,,0,0
ransomed,,no,2023-08-21,2023-10-30,68,,,,0,0
blacklock,,no,2023-11-27,2025-07-02,64,,,,0,0
settra,,yes,2026-06-02,2026-08-27,64,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/settra/20260826T033405Z.png,0,0
lv,,no,2021-11-22,2022-11-27,63,,,,0,0
flocker,,no,2024-04-25,2025-07-31,59,,,,0,0
maze,,no,2019-10-21,2020-09-11,59,,,,0,0
darkvault,DarkVault,no,2024-02-08,2025-01-06,55,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/darkvault/20260820T033124Z.png,0,0
gunra,G*NRA,yes,2025-04-07,2026-09-04,54,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/gunra/20260904T033028Z.png,0,0
losttrust,,no,2023-09-26,2023-09-26,53,,,,0,0
ailock,AiLock Data Leaks,yes,2015-04-29,2026-08-26,51,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ailock/20260830T033019Z.png,55,1
mallox,,no,2022-11-04,2024-07-14,49,,,,0,0
storm,Storm Blog,yes,,,49,,,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/storm/20260830T033449Z.png,0,1
tengu,,no,2025-10-23,2026-03-07,49,,,,0,0
termite,,yes,2023-05-11,2026-08-13,49,,,,42,0
trigona,,no,2023-04-11,2024-03-30,49,,,,0,0
insomnia,Insomnia,no,2025-02-14,2026-09-02,48,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/insomnia/20260823T033405Z.png,43,0
knight,,no,2023-09-06,2024-02-12,48,,,,0,0
nitrogen,,no,2023-03-29,2026-06-03,48,,,,0,0
crypto24,CRYPTO24 | Data Leak Site,yes,2023-12-13,2026-08-31,47,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/crypto24/20260826T033509Z.png,6,0
blacknevas,DLS,yes,2023-04-24,2026-08-13,45,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/blacknevas/20260826T033322Z.png,1,0
orova,OROVA,yes,,,45,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/orova/20260830T033405Z.png,0,2
global secret group,Home — Global Secret Group,yes,,,44,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/global_secret_group/20260830T033317Z.png,44,1
midas,,no,2021-11-29,2022-04-14,44,,,,0,0
blackshrantac,,no,2025-09-17,2026-01-16,43,,,,0,0
cmdorganization,CMD // home,yes,2026-01-25,2026-07-31,43,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/cmdorganization/20260830T033139Z.png,3,1
donutleaks,,no,2022-08-24,2024-07-24,42,,,,0,0
securotrop,,yes,2025-06-11,2026-08-18,42,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/securotrop/20260823T033309Z.png,37,0
j,,yes,2025-02-17,2025-11-01,41,,,,0,0
embargo,EMBARGO,yes,2024-04-17,2026-06-30,40,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/embargo/20260826T033642Z.png,11,0
darkleakmarket,,no,2021-09-09,2022-05-25,39,,,,0,0
dragonransomware,,no,2024-10-22,2024-12-16,39,,,,0,0
metaencryptor,Metaencryptor::Home,yes,2023-08-16,2026-08-23,38,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/metaencryptor/20260824T033103Z.png,35,0
crpxo,,yes,,,37,,,,0,0
m3rx,M3RX Data Leak Site,yes,2026-04-29,2026-08-14,37,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/m3rx/20260826T033539Z.png,35,0
ciphbit,,no,2023-09-14,2026-02-10,36,,,,0,0
global,GLOBAL // Blog,yes,2025-05-28,2026-08-26,36,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/global/20260830T033301Z.png,5,0
helldown,,no,2024-08-05,2024-11-06,36,,,,0,0
nokoyawa,,no,2022-12-09,2023-08-04,36,,,,0,0
arvinclub,,no,2021-09-09,2023-10-15,35,,,,0,0
aurora,Aur0ra Blog,no,2026-04-17,2026-09-02,35,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/aurora/20260826T033153Z.png,0,0
moneymessage,News,yes,2023-01-04,2026-08-28,35,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/moneymessage/20260826T033638Z.png,0,0
spook,,no,2021-10-04,2021-10-19,35,,,,0,0
lamashtu,Lamashtu.Blog,yes,2026-04-11,2026-06-17,34,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/lamashtu/20260827T033107Z.png,0,0
dan0n,,yes,2024-03-26,2024-08-23,33,,,,0,0
obscura,,no,2025-07-16,2026-01-11,33,,,,0,0
wannacry,,no,2017-05-12,2018-02-23,33,,,,0,0
blackmatter,,no,2021-09-08,2021-11-04,32,,,,0,0
marketo,,no,2021-12-07,2022-02-14,32,,,,0,0
suncrypt,,no,2020-08-24,2022-06-18,32,,,,0,0
alphalocker,--,yes,2024-01-24,2026-02-28,31,el,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/alphalocker/20260905T033030Z.png,1,0
frag,,no,2024-09-24,2025-06-12,30,,,,0,0
payloadbin,,no,2021-09-09,2022-01-06,29,,,,0,0
bravox,Verification Required,yes,2025-05-15,2026-09-01,28,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/bravox/20260826T033345Z.png,0,0
l group,,yes,,,28,,,,0,0
onyx,,no,2022-04-29,2022-11-21,28,,,,0,0
fulcrumsec,FulcrumSec,yes,2026-05-01,2026-09-01,26,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/fulcrumsec/20260824T033134Z.png,23,0
kelvinsecurity,,no,2022-04-01,2022-05-24,26,,,,0,0
netwalker,,no,2020-01-31,2020-12-12,26,,,,0,0
underground,All data | Underground store,yes,2023-05-30,2025-08-15,26,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/underground/20260823T033349Z.png,13,0
werewolves,,yes,2023-05-18,2024-03-04,26,,,,0,0
dark project,Dark Project,yes,,,25,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/dark_project/20260830T033214Z.png,0,1
doppelpaymer,,no,2019-05-25,2021-04-10,25,,,,0,0
kraken,,no,2024-02-12,2025-11-13,25,,,,0,0
lapsus$,,no,2021-12-10,2026-06-23,25,,,,0,0
vect,,no,2025-10-05,2026-04-15,25,,,,0,0
radar,RADAR,yes,2024-01-22,2026-04-29,24,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/radar/20260831T033033Z.png,0,0
titan,TITAN,yes,2026-04-14,2026-08-20,24,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/titan/20260824T033207Z.png,0,0
morpheus,MORPHEUS (contact morpheus.support@onionmail.org),yes,2025-01-07,2026-07-30,23,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/morpheus/20260824T033138Z.png,0,0
majinahanashi,魔人 — DLS,yes,,,22,ja,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/majinahanashi/20260830T033332Z.png,0,1
unsafe,UnSafe,yes,2022-12-21,2026-08-28,22,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/unsafe/20260826T033346Z.png,8,0
auditteam,/// DATA EXPOSURE TERMINAL ///,yes,2026-02-21,2026-08-27,21,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/auditteam/20260830T033058Z.png,7,2
daixin,Data Leak,yes,2022-08-03,2025-09-11,21,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/daixin/20260826T033124Z.png,40,0
xinglocker,,no,2021-04-29,2021-10-26,21,,,,0,0
hellcat,,no,2024-10-25,2025-04-07,20,,,,0,0
leaktheanalyst,,no,2022-01-01,2022-03-29,20,,,,0,0
cephalus,,no,2025-06-28,2025-08-29,19,,,,0,0
panzer,Panzer | Blog,yes,,,19,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/panzer/20260830T033414Z.png,0,1
ralord,,yes,2025-03-22,2025-04-27,19,,,,0,0
siegedsec,,no,2023-11-26,2023-12-09,19,,,,0,0
zawoo,,yes,,,19,,,,0,0
brotherhood,,no,2025-04-04,2026-01-06,18,,,,0,0
d4rk4rmy,,no,2025-07-07,2025-08-16,18,,,,0,0
kazu,Kazu,yes,2025-11-06,2026-08-23,18,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/kazu/20260826T033451Z.png,0,0
mountlocker,,no,2021-02-07,2022-02-08,18,,,,0,0
trinity,,no,2024-06-06,2025-03-16,18,,,,0,0
alp-001,,yes,2023-03-27,2026-04-08,17,,,,0,0
kawa4096,,no,2025-06-19,2025-07-28,17,,,,0,0
sabbath,,no,2021-11-22,2022-02-28,17,,,,0,0
shadowbyt3$,,yes,2026-02-17,2026-08-29,17,,,,0,1
tridentlocker,TridentLocker,yes,2025-10-21,2026-09-04,17,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/tridentlocker/20260827T033058Z.png,17,0
apos,,no,2024-04-26,2025-06-24,16,,,,0,0
booba project,Booba Storage,yes,,,16,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/booba_project/20260830T033112Z.png,11,2
datacarry,DATACARRY,no,2024-06-26,2025-12-06,16,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/datacarry/20260612T033129Z.png,0,0
dunghill,,no,2023-04-10,2025-07-01,16,,,,0,0
madliberator,,no,2024-05-27,2024-10-01,16,,,,0,0
mosesstaff,,no,2021-12-18,2021-12-18,16,,,,0,0
redransomware,,no,2024-03-05,2024-06-11,16,,,,0,0
cheers,,no,2022-05-29,2022-09-14,15,,,,0,0
exfilsquad,ExfilSquad,yes,,,15,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/exfilsquad/20260830T033246Z.png,18,1
nefilim,,no,2020-05-05,2021-09-09,15,,,,0,0
benzona,,no,2025-11-26,2026-01-30,14,,,,0,0
freecivilian,,no,2022-12-31,2022-12-31,14,,,,0,0
orion,Blog - Orion,yes,2025-10-28,2026-07-27,14,en,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/orion/20260902T033026Z.png,21,0
sparta,,no,2022-09-13,2022-09-22,14,,,,0,0
weyhro,,yes,2024-12-12,2025-08-10,14,,,,0,0
argonauts,,no,2024-09-15,2024-12-16,13,,,,0,0
groove,,no,2021-09-09,2021-10-30,13,,,,0,0
mindware,,no,2022-05-05,2022-05-05,13,,,,0,0
blackout,,yes,2024-02-26,2026-07-19,12,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/blackout/20260826T033402Z.png,0,0
icarus,,yes,2026-05-05,2026-06-23,12,,,,0,0
imncrew,,yes,2025-05-05,2025-09-16,12,,,,0,0
teamxxx,,no,2025-02-17,2025-08-03,12,,,,0,0
wallstreet,Wallstreet | DLS,yes,,,12,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/wallstreet/20260830T033522Z.png,0,1
blackwater,Blog,yes,2026-04-17,2026-08-24,11,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/blackwater/20260826T033249Z.png,18,0
black x,Black X,yes,,,11,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/black_x/20260830T033106Z.png,0,1
cryp70n1c0d3,,yes,2021-12-18,2021-12-18,11,,,,0,0
emperador,,yes,,,11,,,,12,1
icefire,,no,2022-08-20,2022-08-20,11,,,,0,0
crazyhunter,,no,2025-03-05,2025-03-30,10,,,,0,0
darkpower,,no,2023-03-11,2023-03-11,10,,,,0,0
darkrace,,no,2023-05-30,2023-06-09,10,,,,0,0
darkside,,no,2020-08-01,2021-05-13,10,,,,0,0
doommageddon,DOOMMAGEDDON,yes,,,10,tr,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/doommageddon/20260830T033211Z.png,11,1
dysphor1a,DYSPHOR1A Ransomware Group,yes,,,9,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/dysphor1a/20260830T033243Z.png,0,1
leakbazaar,,yes,2026-04-13,2026-05-09,9,,,,0,0
rook,,no,2021-12-07,2022-01-08,9,,,,0,0
babuk,,no,2020-10-25,2021-07-27,8,,,,0,0
barracuda,BARRACUDA,yes,,,8,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/barracuda/20260830T033034Z.png,0,1
cryptbb,,no,2022-04-03,2023-08-16,8,,,,0,0
helix,HELIX - Leaks,yes,,,8,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/helix/20260830T033310Z.png,8,2
mogilevich,,no,2024-02-20,2024-03-01,8,,,,0,0
qiulong,,no,2024-04-19,2024-06-24,8,,,,0,0
radiant,,no,2025-10-12,2025-10-29,8,,,,0,0
skira,,no,2025-03-06,2025-11-18,8,,,,0,0
vanhelsing,,yes,2025-03-12,2025-04-05,8,,,,0,0
xpl0itrs,xpl0itrs:~,yes,2026-06-12,2026-08-20,8,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/xpl0itrs/20260826T033604Z.png,0,0
0mega,,yes,2022-07-14,2024-01-25,7,,,,0,0
bert,,no,2025-04-04,2025-06-10,7,,,,0,0
chort,,no,2024-11-17,2024-11-22,7,,,,0,0
cyclops,,no,2023-06-29,2023-07-26,7,,,,0,0
iah6477,cinder,yes,2026-08-20,2026-08-29,7,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/iah6477/20260831T033016Z.png,7,0
karma,,yes,2021-10-04,2021-10-04,7,,,,0,0
malekteam,,yes,2023-12-24,2024-04-05,7,,,,0,0
pay2key,,no,2020-12-13,2021-09-09,7,,,,0,0
arkana,,no,2025-03-24,2025-06-06,6,,,,0,0
cipherforce,,no,2026-02-23,2026-02-23,6,,,,0,0
dataleak,,no,2022-12-02,2022-12-02,6,,,,0,0
eclipse,Eclipse Blog,yes,,,6,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/eclipse/20260830T033220Z.png,1,2
netrunner,NetRunner Leak,no,2026-04-03,2026-04-03,6,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/netrunner/20260826T033555Z.png,8,0
rancoz,,no,2023-05-05,2023-09-03,6,,,,0,0
redalert,,no,2022-07-14,2022-09-22,6,,,,0,0
runsomewares,Run Some Wares,yes,2024-06-22,2025-07-10,6,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/runsomewares/20260830T033425Z.png,7,1
secp0,SECP0 News,yes,2025-03-14,2026-04-27,6,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/secp0/20260828T033029Z.png,6,0
silent,,no,2025-03-27,2025-05-04,6,,,,0,0
yanluowang,,no,2022-07-02,2022-08-10,6,,,,0,0
0day syndicate,0day | Command Ops,yes,,,5,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/0day_syndicate/20260830T033017Z.png,0,1
atomsilo,Atomsilo Ransomware,yes,2021-12-21,2026-02-24,5,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/atomsilo/20260824T033041Z.png,0,0
bqtlock,,no,2025-07-31,2025-10-11,5,,,,0,0
donex,,no,2024-02-22,2024-02-27,5,,,,0,0
gdlockersec,,yes,2025-01-24,2025-01-26,5,,,,0,0
kryptos,,no,2025-10-08,2025-11-06,5,,,,0,0
lockbit,,no,2020-10-21,2021-08-23,5,,,,0,0
lockdata,,no,2021-09-09,2021-09-09,5,,,,0,0
minteye,,no,2025-12-07,2025-12-12,5,,,,0,0
ms13089,MS13-089 Blog,yes,2025-12-18,2026-08-15,5,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/ms13089/20260828T033042Z.png,8,0
orca,,no,2024-09-16,2026-04-27,5,,,,0,0
pandora,,no,2022-03-17,2022-03-30,5,,,,0,0
prinzeugen,✠,yes,2026-02-27,2026-06-04,5,unknown,yes,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/prinzeugen/20260830T033358Z.png,1,1
projectrelic,,no,2022-11-11,2022-12-18,5,,,,0,0
raznatovic,,no,2023-12-17,2024-01-07,5,,,,0,0
ulose,,yes,,,5,,,,0,1
valencialeaks,,yes,2024-09-18,2024-09-18,5,,,,0,0
vexy ransomware,,yes,,,5,,,,0,0
blacktor,,no,2021-12-30,2021-12-30,4,,,,0,0
desolator,,no,2025-08-27,2025-08-31,4,,,,0,0
exitium,Exitium,yes,2026-03-17,2026-04-14,4,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/exitium/20260826T033617Z.png,6,0
gammax,GAMMAX // BLOG,yes,,,4,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/gammax/20260830T033254Z.png,4,1
linkc,Linkc Pub,yes,2025-01-29,2026-02-27,4,en,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/linkc/20260831T033016Z.png,0,0
ransomcortex,,no,2024-07-12,2024-07-12,4,,,,0,0
satanlockv2,SatanLock V2 Leaks,yes,2025-07-04,2025-07-07,4,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/satanlockv2/20260901T033034Z.png,0,0
shaoleaks,,no,2022-11-01,2022-11-01,4,,,,0,0
triple x,,yes,,,4,,,,0,0
blackshadow,,no,2021-12-18,2021-12-18,3,,,,0,0
bluebox,,no,2024-12-02,2024-12-14,3,,,,0,0
bonacigroup,,no,2021-10-04,2021-12-06,3,,,,0,0
d1r,502 Bad Gateway,yes,,,3,unknown,no,https://threatcluster.lon1.digitaloceanspaces.com/darkweb-groups/d1r/20260830T033146Z.png,0,1
