group,victim,country,sector,discovered,post_url,status,delisted_date,first_party
spacebears,Studio Oculistico Ciraci,IT,Healthcare,2026-09-03,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/73/studio-oculistico-ciraci,listed,,yes
insomnia,"Maglin, Miskiv & Associates",US,Professional Services,2026-09-03,http://i62huw7ve22rpyw6lnq3kmfump2dmsg4xpveec3ere73njwatrz74gad.onion/Company/MnM/,listed,,yes
kairos,Ville de Libercourt,FR,Government & Defense,2026-09-02,http://nerqnacjmdy3obvevyol7qhazkwkv57dwqvye5v46k5bcujtfa6sduad.onion,listed,,yes
insomnia,N***************,US,,2026-09-02,http://i62huw7ve22rpyw6lnq3kmfump2dmsg4xpveec3ere73njwatrz74gad.onion/Company/Announce/,listed,,yes
eclipse,part1.simplexengg.in,IN,Technology,2026-09-02,http://yecdjimqiaekprxza6wkqecma4bwt757qiyfjngsaxg7rkjv4xukpwad.onion/data/part1.simplexengg.in/,listed,,yes
qilin,Uak University,TR,Education,2026-09-02,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=759965bf-44b5-4772-93e8-cbd8e8be702b,listed,,yes
qilin,Grayson Rural Electric Cooperative,US,Energy & Utilities,2026-09-02,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=678d1dd9-022a-4521-8317-67e56329d10e,listed,,yes
anubis,Marlborough Partners,GB,Financial Services,2026-09-02,http://om6q4a6cyipxvt7ioudxt24cw4oqu4yodmqzl25mqd2hgllymrgu4aqd.onion/r/5VYRngWB4RHGrQhum0wZh8OC72oO1g3GU++a70ZsZ6tkH4WMROBRx4tJXAXmdwAp3e0NJ5M+6ftohrSE8ypGt5MGR0ZWd4,listed,,yes
global secret group,Quality Resource Pvt,US,Other,2026-09-01,http://o5lsqyar7ox25z734k6zaxt2vf7bsyi4q5rturi5iyxzqo3ica7bjsad.onion/project/8tEkAvb4TaoYSH37/,listed,,yes
qilin,Commission de la construction du Quebec,CA,Government & Defense,2026-09-01,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=bb124a20-c23d-4d26-a952-fefc3b6d6fc2,listed,,yes
braincipher,icot.es,ES,Technology,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/icot-es,listed,,yes
braincipher,aeiconsultants.com,US,Professional Services,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/aeiconsultants-com,listed,,yes
braincipher,syc.es,ES,Technology,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/syc-es,listed,,yes
braincipher,Adviesbureau De Beuckelaer BV,NL,Professional Services,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/adviesbureau-de-beuckelaer-BV,listed,,yes
braincipher,ahadandco.com,AE,Other,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/ahadandco-com,listed,,yes
braincipher,sago.com,,Technology,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/sago-com,listed,,yes
braincipher,crmeyer.com,DE,Professional Services,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/crmeyer-com,listed,,yes
braincipher,ccsperfusion.com,US,Healthcare,2026-08-31,http://vkvsgl7lhipjirmz6j5ubp3w3bwvxgcdbpi3fsbqngfynetqtw4w5hyd.onion/n/ccsperfusion-com,listed,,yes
qilin,Inmac,AR,Retail & E-Commerce,2026-08-31,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=e4d6313d-31ac-4c53-a057-78763996a847,listed,,yes
global secret group,R L Fine Chem Pvt. Ltd.,IN,Manufacturing,2026-08-31,http://o5lsqyar7ox25z734k6zaxt2vf7bsyi4q5rturi5iyxzqo3ica7bjsad.onion/project/b6CUZMNZV4BJUiGi/,listed,,yes
interlock,Super Systems Inc,US,Technology,2026-08-31,http://2nv4huuzjbsqncvuepdmwneo6l4ocgtxzcgdau7obcvaqebkssfpz2ad.onion/index.php?p=,listed,,yes
falcon,Hayward Holdings,US,Manufacturing,2026-08-31,http://i7loab6thvz4lb7jdr3qoeumbvilwhbgnwsctnlfmvsv7g5s3vsiw6yd.onion/downloads/Hayward.7z,listed,,yes
qilin,Allied Recycling,IE,Manufacturing,2026-08-31,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=e7223d63-284f-41ed-92ad-ff78a88d557a,listed,,yes
insomnia,Metro Tulsa Foot,US,Healthcare,2026-08-31,http://i62huw7ve22rpyw6lnq3kmfump2dmsg4xpveec3ere73njwatrz74gad.onion/Company/MTFAS/,listed,,yes
qilin,AFSARD,MK,,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=9136a394-e1a1-47ce-8fe6-16ed813a5d23,listed,,yes
direwolf,THQ Nordic,SE,Technology,2026-08-30,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/113,listed,,yes
direwolf,Erdem Hospital,TR,Healthcare,2026-08-30,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/114,listed,,yes
direwolf,Hospital Clnico Universidad de Chile,CL,Healthcare,2026-08-30,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/115,listed,,yes
falcon,Globus Medical,US,Healthcare,2026-08-30,http://i7loab6thvz4lb7jdr3qoeumbvilwhbgnwsctnlfmvsv7g5s3vsiw6yd.onion/#GlobusMedical,listed,,yes
qilin,Crystalpharmatech,,Healthcare,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=9cc2365a-5fb6-4668-a614-7e65684bb18b,listed,,yes
qilin,Absolute Consultancy Services,GB,Professional Services,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=633d975c-e73f-462e-95fb-a372b53b600a,listed,,yes
qilin,Black Cat Engineering Construction Wll,QA,Manufacturing,2026-08-30,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=9b7d483d-aaa7-4da7-8724-a96e7005d141,listed,,yes
qilin,Bandit Industries,US,Other,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=f366be31-dcd5-4b96-809c-197c9ba6999c,listed,,yes
qilin,LAPoco Architects,US,Professional Services,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=2affb033-7e6a-48cc-be6d-8b0bcb395750,listed,,yes
emperador,Uniguacu,BR,Other,2026-08-29,/post/uniguacu/,listed,,yes
qilin,Neumaticos Corral S.A.,AR,Manufacturing,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=5396431c-0700-4548-bcec-1ec417e29773,listed,,yes
qilin,The Frame Group,AU,Retail & E-Commerce,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=0b334ebb-408d-4b05-ba69-806e10a05580,listed,,yes
qilin,La Maison Des Travaux,FR,Retail & E-Commerce,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=fcb05123-2685-418f-8dd5-4c29a26ce6cb,listed,,yes
qilin,BLISS 1041,MT,,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=b03ebcee-148c-41f8-ba2e-30817cb3b4bb,listed,,yes
qilin,CareClinics,MY,Healthcare,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=d1947ee4-7210-4bf1-8c59-28faa9ac8495,listed,,yes
m3rx,lindner-group.com,AT,Manufacturing,2026-08-29,http://4k6plf4h2cm2nco6ae3inrsxnmqgl6lllmwefydhnlcq4tuhwbj4qpad.onion#lindner-group.com,listed,,yes
qilin,AUM Construction,US,Manufacturing,2026-08-29,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=8124695c-39b4-49fa-9835-d01eb7aa9cbb,listed,,yes
iah6477,swagelok,US,Manufacturing,2026-08-29,http://iah6477wcvisc45wl54u524fbrh4dnmtcctpg2fpe5epf3jbpkiwu4qd.onion/a/swagelok/,listed,,yes
iah6477,trc-companies,US,Professional Services,2026-08-29,http://iah6477wcvisc45wl54u524fbrh4dnmtcctpg2fpe5epf3jbpkiwu4qd.onion/a/trc-companies/,delisted,2026-08-31,yes
doommageddon,SITTNAK Lojistik A.Ş.,TR,Transportation,2026-08-28,http://iacjvmxjb2ivqkxxzmde4w6g53gn6ym7c3g6mfifvejyhqtp4wrkypyd.onion/victim/sittnak-lojistik-a-ş-,listed,,yes
doommageddon,Akpera Gayrimenkul Yatırım A.Ş.,TR,Other,2026-08-28,http://iacjvmxjb2ivqkxxzmde4w6g53gn6ym7c3g6mfifvejyhqtp4wrkypyd.onion/victim/akpera-gayrimenkul-yatırım-a-ş-,listed,,yes
qilin,Alter Consultores Legales,ES,Professional Services,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=f1ab8b65-49c7-48f8-896a-75042a82c095,listed,,yes
qilin,Newton County School System,US,Education,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=d30bf640-c3c0-4fd8-a03f-1f4a9daf7726,listed,,yes
global,Vigilia,UY,Technology,2026-08-28,http://globalrbweyhxxa5b65bjjsm5bfuqfs5ydizefupqcminoedzn6o2sqd.onion,listed,,yes
global,"Hangzhou Qihan Biotech Co., Ltd.",CN,Healthcare,2026-08-28,http://globalrbweyhxxa5b65bjjsm5bfuqfs5ydizefupqcminoedzn6o2sqd.onion,listed,,yes
global,Shanghai Tunnel Engineering Co Ltd,SG,Transportation,2026-08-28,http://globalrbweyhxxa5b65bjjsm5bfuqfs5ydizefupqcminoedzn6o2sqd.onion,listed,,yes
global,Atcomm,CN,Technology,2026-08-28,http://globalrbweyhxxa5b65bjjsm5bfuqfs5ydizefupqcminoedzn6o2sqd.onion,listed,,yes
qilin,DigiGround,AU,Technology,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=0cbc2586-f3cd-44fb-9de7-8867f181aac0,listed,,yes
qilin,Tramigo,FI,Transportation,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=8d83fa74-d33c-47dc-a5a6-c95d5fbabcd5,listed,,yes
qilin,Cosmocolor SA de CV,MX,Manufacturing,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=920d72a2-e450-4ab2-9540-9fef193bf438,listed,,yes
emperador,Hanwha Renewables,KR,Energy & Utilities,2026-08-28,/post/hanwha-renewables/,listed,,yes
unsafe,amzur.com,BR,,2026-08-28,http://unsafeipw6wbkzzmj7yqp7bz6j7ivzynggmwxsm6u2wwfmfqrxqrrhyd.onion/reel/6a916155102e2455604e860b?page=1,listed,,yes
qilin,Infinnium,,Technology,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=3cdde6d5-319e-44d3-b122-150e36bab273,listed,,yes
qilin,Whitehouse,GB,Government & Defense,2026-08-28,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=f570d277-341f-44c6-b130-aa34613d0869,listed,,yes
anubis,Caduceus Medical Group,,Healthcare,2026-08-28,http://anubisyfkh5rixydjpoo3jqucauajz2juybrbtuglcppjj2y3eg3y6ad.onion/r/IjxbBv9ng0ONhhEWp4t0SnWyMOYqB8Fibcy2BXplLorjkHn4JlUs4WNKov3nOe9b9oDDGhPqlOAQcBfxvQR0HgwNG5OVU1u,listed,,yes
qilin,Globalport Terminals,PH,Transportation,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=c7669cd1-2ccb-423c-b143-1cde8f5b9ebf,listed,,yes
qilin,Kling Automaten,DE,Retail & E-Commerce,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=53842717-9218-4879-bfe2-2a902c5969d6,listed,,yes
qilin,Dotlines,SG,Technology,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=87f7f4ad-285e-46b8-9a42-afc956fccac7,listed,,yes
emperador,Ipro.com(revealdata.com) customer DB + full database backup,,Technology,2026-08-27,/post/iprocomrevealdatacom-customer-db-full-database-backup/,listed,,yes
qilin,GPS Grothkopp und Partner,DE,Professional Services,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=c7521025-9199-4fb7-90ee-525c06e05792,listed,,yes
qilin,Providence Investments,US,Financial Services,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=dd0f8be9-ac24-420c-80ec-d928241b7a66,listed,,yes
qilin,LGG Advisors,GB,Professional Services,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=d741e592-139a-4048-95c3-ad4498fc54a2,listed,,yes
qilin,Open Sports,AR,Retail & E-Commerce,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=f47c0dbd-4012-4282-905e-bd9ed4427463,listed,,yes
auditteam,PI***al,CO,Financial Services,2026-08-27,http://6tdqqaxftvradka5d2frzgwixis7fmro7rfh4ettzcx7jfapkebe6jad.onion/entity/6B55D91EA16DCB48,listed,,yes
qilin,DAB Investments,GB,Financial Services,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=bbfd0a40-ca67-4852-9ba4-4857e21402ff,listed,,yes
qilin,Displaydata,GB,Technology,2026-08-27,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=b023a9b8-01ac-4305-8c15-a37fe44350ab,listed,,yes
emperador,Capitol Mechanics,US,Transportation,2026-08-27,/post/capitol-mechanics/,listed,,yes
pear,"NEXT LEVEL MEDICAL, LLC",US,Healthcare,2026-08-26,http://pearsmob5sn44ismokiusuld34pnfwi6ctgin3qbvonpoob4lh3rmtqd.onion/Companies/nextlevelurgentcare,listed,,yes
iah6477,proampac,US,Manufacturing,2026-08-26,http://iah6477wcvisc45wl54u524fbrh4dnmtcctpg2fpe5epf3jbpkiwu4qd.onion/a/proampac/,listed,,yes
iah6477,mat-holdings-inc,US,Manufacturing,2026-08-26,http://iah6477wcvisc45wl54u524fbrh4dnmtcctpg2fpe5epf3jbpkiwu4qd.onion/a/mat-holdings-inc/,listed,,yes
qilin,Sanatorio Modelo de Caseros,AR,Healthcare,2026-08-26,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=a367490f-d9fa-4df8-b65e-4eac8955ed12,listed,,yes
qilin,KenEp Resources,MY,Energy & Utilities,2026-08-26,http://ijzn3sicrcy7guixkzjkib4ukbiilwc3xhnmby4mcbccnsd7j2rekvqd.onion/site/blog?uuid=6c38b5e8-23c9-4fe7-973c-fb814e146598,listed,,yes
auditteam,Demidov Steel Group,RU,Manufacturing,2026-08-26,http://6tdqqaxftvradka5d2frzgwixis7fmro7rfh4ettzcx7jfapkebe6jad.onion/entity/C1C23C2621D1D387,listed,,yes
abyss,MEMSIC,US,Manufacturing,2026-08-26,http://3ev4metjirohtdpshsqlkrqcmxq6zu3d7obrdhglpy5jpbr7whmlfgqd.onion,listed,,yes
ailock,Morgan Services,GB,Professional Services,2026-08-26,http://dhnsppqjaaa22lsqxl2tfhji4ca43743kubltnodvsft3hkvai77p6ad.onion,listed,,yes
ailock,Hamilton,US,Other,2026-08-26,http://dhnsppqjaaa22lsqxl2tfhji4ca43743kubltnodvsft3hkvai77p6ad.onion,listed,,yes
auditteam,ma***up,RU,,2026-08-25,http://6tdqqaxftvradka5d2frzgwixis7fmro7rfh4ettzcx7jfapkebe6jad.onion/entity/17E19C9B6B41D33F,listed,,yes
direwolf,Studio Legale ESE,IT,Professional Services,2026-08-25,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/112,listed,,yes
global secret group,Tiseo Paving,US,Transportation,2026-08-25,http://o5lsqyar7ox25z734k6zaxt2vf7bsyi4q5rturi5iyxzqo3ica7bjsad.onion/project/Rb2qPykYvPvurucj/,listed,,yes
global secret group,Johnson City Honda,US,Retail & E-Commerce,2026-08-25,http://o5lsqyar7ox25z734k6zaxt2vf7bsyi4q5rturi5iyxzqo3ica7bjsad.onion/project/AUm9jjHmLf3JmpdJ/,listed,,yes
global secret group,"Lockheed Architectural Solutions, Inc.",US,Government & Defense,2026-08-25,http://o5lsqyar7ox25z734k6zaxt2vf7bsyi4q5rturi5iyxzqo3ica7bjsad.onion/project/GjZTZjKjC69Si2Bp/,listed,,yes
genesis,S*******,,,2026-08-25,http://genesis6ixpb5mcy4kudybtw5op2wqlrkocfogbnenz3c647ibqixiad.onion/44dfaf172b7515dc1e80/,listed,,yes
beast,Cosmon,US,Technology,2026-08-25,http://beast6azu4f7fxjakiayhnssybibsgjnmy77a6duufqw5afjzfjhzuqd.onion/card/cosmon,listed,,yes
deadlock,FBC,ZA,,2026-08-24,,listed,,yes
safepay,lagegepesca.it,IT,Agriculture and Food Production,2026-08-24,http://safepaypfxntwixwjrlcscft433ggemlhgkkdupi2ynhtcmvdgubmoyd.onion/blog/post/lagegepescait/,listed,,yes
arcusmedia,ManagementPro,,Professional Services,2026-08-24,http://arcuufpr5xxbbkin4mlidt7itmr6znlppk63jbtkeguuhszmc5g7qdyd.onion/?p=793,listed,,yes
arcusmedia,Mark’Techno,,Technology,2026-08-24,http://arcuufpr5xxbbkin4mlidt7itmr6znlppk63jbtkeguuhszmc5g7qdyd.onion/?p=792,listed,,yes
blackwater,www.ptesm.com,PT,,2026-08-24,http://ejzl7cjxmkx7lzhiqwidmrwtfjv45pkczbc4fnyaut3t7gll3yaiq5id.onion/blog?uuid=340ec8c9-e611-3e1f-a055-94c473d09c50,listed,,yes
genesis,Hospitality Health ER (Longview),US,Healthcare,2026-08-23,http://genesis6ixpb5mcy4kudybtw5op2wqlrkocfogbnenz3c647ibqixiad.onion/9e19757b54df85888c12/,listed,,yes
killsec,Global Go,PE,Transportation,2026-08-23,http://ks5424y3wpr5zlug5c7i6svvxweinhbdcqcfnptkfcutrncfazzgz5id.onion/?view=75f4198ee48a,listed,,yes
emperador,FRUCASTRO SL,ES,Agriculture and Food Production,2026-08-23,/post/frucastro-sl/,listed,,yes
metaencryptor,Woodlore International Inc.,CA,Other,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:644c53bedb78989e0beea79eb1af1ff3a6b9c8b7f1830f7d6ac6f327e88ded25/0AFC:30ac6375426b74221904bfbd548b5ce687b16a10752cc712c923986980550a61729386c25785e967d285b5403543b621,listed,,yes
metaencryptor,Trailer Transit Inc,US,Transportation,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:d767a9ce15f9543dc24fa118136ffcf487e61f367fcf608aa0a18a42fd58dc67/0AFC:f77109731b04e722189f6db5a9f8f826f5b84af4608d19bdf8565ceed22bd92959918e5c9fb4143402db5d545ee7ba48,listed,,yes
metaencryptor,Weber Water Resources,US,Energy & Utilities,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:3c23cfc8a16ad3c98f0d14eb26ac68e7075cd4b84f3a87f649e441954b5d7b8b/0AFC:ff69a89f01ca638c160b25a8f27f8c2fd334048e1ac77088f7a63630204fe11becb07b43124d47b5c171440da2b3bc93,listed,,yes
metaencryptor,MPA Pharma GmbH,DE,Healthcare,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:a84a63e32fcda270b5ffc2ff794708035c3da8e950597ea08b71c87be2694436/0AFC:5d163147e4a9f437182691d51c7a38d17e30878fa36213c6facd0e05d898afb8,listed,,yes
metaencryptor,Aquamar Inc,US,Agriculture and Food Production,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:c589737b6ac7c97092ef61865d5d322877ed7b9d8092c74585ac90b46ad06a2d/0AFC:b2bb7035af4c4ca15bd96981b733feb0acecc8301a9ae0d39337c91223270f1c,listed,,yes
metaencryptor,Corona Corporation,JP,Other,2026-08-23,https://metacrpttdfpbm4qoxzcrqqgr6e6zafpazgxm72knmujw2mwvi34rwad.onion/0AFC:09dc4c91d8121c0f6a44fd584b4a7a1f/0AFC:e23244d5ca0b6e2c3d7701ad03eb144f9b5be7f720368862a2992c0e4fe2392a,listed,,yes
helix,AmSpec,US,Energy & Utilities,2026-08-22,http://helixr2sncrd3ndsz5oho6mzqw3x5u7mvox5zcsngc5wm7v4l5k7oryd.onion/p/05d7e14bd3e7d7efce2406aad744dc6daa15edfbca7d38cb8ced622125d3c989,listed,,yes
emperador,Vietnam Electricity(EVNHANOI),VN,Energy & Utilities,2026-08-22,/post/vietnam-electricityevnhanoi/,listed,,yes
spacebears,holzmarkt chemnitz,DE,Retail & E-Commerce,2026-08-22,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/71/holzmarkt-chemnitz,listed,,yes
spacebears,Freelom,CZ,,2026-08-22,http://5butbkrljkaorg5maepuca25oma7eiwo6a2rlhvkblb4v6mf3ki2ovid.onion/companies/72/freelom,listed,,yes
pear,Island Networks,JM,Technology,2026-08-22,http://pearsmob5sn44ismokiusuld34pnfwi6ctgin3qbvonpoob4lh3rmtqd.onion/Companies/islandnetjm,listed,,yes
pear,"Mogren, Glessner & Ahrens, P.S.",US,Professional Services,2026-08-22,http://pearsmob5sn44ismokiusuld34pnfwi6ctgin3qbvonpoob4lh3rmtqd.onion/Companies/mgrlaw,listed,,yes
termite,Everglades Boats,US,Manufacturing,2026-08-22,http://termiteuslbumdge2zmfmfcsrvmvsfe4gvyudc5j6cdnisnhtftvokid.onion/post/6a7cf68efbf635b18142e1d4,listed,,yes
pear,Clifton Architectural Glass & Metal,US,Manufacturing,2026-08-21,http://pearsmob5sn44ismokiusuld34pnfwi6ctgin3qbvonpoob4lh3rmtqd.onion/Companies/cliftonglass,listed,,yes
pear,First Commerce LLC,US,Financial Services,2026-08-21,http://pearsmob5sn44ismokiusuld34pnfwi6ctgin3qbvonpoob4lh3rmtqd.onion/Companies/firstcommercellc,listed,,yes
anubis,Interim HealthCare [Head office],US,Healthcare,2026-08-21,http://om6q4a6cyipxvt7ioudxt24cw4oqu4yodmqzl25mqd2hgllymrgu4aqd.onion/r/qSyLjdjTxND8z6QcanI76118t3safzffkx25VyrsP8pRisU9uC3yns7FVVZTZ2KwlAv3deD5VCYDtdSoeUz2NJc1JRNFJi,listed,,yes
direwolf,NorthStar,CA,,2026-08-21,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/97,listed,,yes
direwolf,The Revel Collective,US,Other,2026-08-21,http://direwolfcdkv5whaz2spehizdg22jsuf5aeje4asmetpbt6ri4jnd4qd.onion/api/public/articles/99,listed,,yes
